BayesianSearch: New best config found. Config: {'alphas0': 4.257009844165456, 'alphas1': 9.806903446113049, 'alphas2': 8.885098884100561, 'alphas3': 0.8394780933177581, 'alphas4': 1.785110842558213, 'alphas5': 13.01683572066521, 'alphas6': 3.352260824431905, 'alphas7': 17.633172958130306, 'alphas8': 7.485925175320682, 'alphas9': 1.4648077230100087} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08690693407781559, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 4.257009844165456, 'alphas1': 9.806903446113049, 'alphas2': 8.885098884100561, 'alphas3': 0.8394780933177581, 'alphas4': 1.785110842558213, 'alphas5': 13.01683572066521, 'alphas6': 3.352260824431905, 'alphas7': 17.633172958130306, 'alphas8': 7.485925175320682, 'alphas9': 1.4648077230100087} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0761871, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: New best config found. Config: {'alphas0': 4.8620541267765365, 'alphas1': 12.064326989513958, 'alphas2': 14.711486534517505, 'alphas3': 19.72399496391417, 'alphas4': 0.8996644023629918, 'alphas5': 9.39294926535892, 'alphas6': 10.621293580451319, 'alphas7': 12.84631614128934, 'alphas8': 8.872179373682027, 'alphas9': 2.468165154750519} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08712608445006918, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 4.8620541267765365, 'alphas1': 12.064326989513958, 'alphas2': 14.711486534517505, 'alphas3': 19.72399496391417, 'alphas4': 0.8996644023629918, 'alphas5': 9.39294926535892, 'alphas6': 10.621293580451319, 'alphas7': 12.84631614128934, 'alphas8': 8.872179373682027, 'alphas9': 2.468165154750519} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0765490, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 7.04887886370787, 'alphas1': 14.99712024669001, 'alphas2': 18.030876313964384, 'alphas3': 12.786533777680866, 'alphas4': 19.53041239880719, 'alphas5': 0.4093936530770814, 'alphas6': 3.817810943624076, 'alphas7': 17.420550733680333, 'alphas8': 4.844506697046949, 'alphas9': 15.332066261112665} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08543543003874303, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 8.261894625929532, 'alphas1': 12.428914046020939, 'alphas2': 7.359152803222708, 'alphas3': 4.251823626314765, 'alphas4': 10.776014185046412, 'alphas5': 9.335521053683458, 'alphas6': 6.900254022634817, 'alphas7': 5.47097211704685, 'alphas8': 9.861122229278656, 'alphas9': 18.53161399386129} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08249097433427155, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 3.3073389933632225, 'alphas1': 9.563571651192257, 'alphas2': 1.0389480924465277, 'alphas3': 13.934184266395208, 'alphas4': 19.220201157458636, 'alphas5': 9.34407834085697, 'alphas6': 13.668768615112555, 'alphas7': 9.164151785236104, 'alphas8': 8.74444485898615, 'alphas9': 2.1197935939888235} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0858448364861097, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 17.422578215697357, 'alphas1': 2.1309880341687437, 'alphas2': 17.924930898897273, 'alphas3': 19.423417898939004, 'alphas4': 19.54842234056918, 'alphas5': 18.640087449040912, 'alphas6': 18.829612403198407, 'alphas7': 18.58435172482198, 'alphas8': 3.9589493158006817, 'alphas9': 0.7539943707676966} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.09022506548951281, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 17.422578215697357, 'alphas1': 2.1309880341687437, 'alphas2': 17.924930898897273, 'alphas3': 19.423417898939004, 'alphas4': 19.54842234056918, 'alphas5': 18.640087449040912, 'alphas6': 18.829612403198407, 'alphas7': 18.58435172482198, 'alphas8': 3.9589493158006817, 'alphas9': 0.7539943707676966} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0787512, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 
