BayesianSearch: Saving logs to result_experiments/tuning_20181214183325/bayesian_optimizer_logs.jsonBayesianSearch: New best config found. Config: {'alphas0': 4.089594203716823, 'alphas1': 7.760112435275788, 'alphas10': 28.284759183119615, 'alphas11': 9.817471368907537, 'alphas12': 9.119255975885816, 'alphas2': 23.2739914982372, 'alphas3': 12.573128942937668, 'alphas4': 2.2911676495093127, 'alphas5': 21.50033077583906, 'alphas6': 13.608847822781962, 'alphas7': 0.3320498674491068, 'alphas8': 12.05439863667756, 'alphas9': 18.522384004896324} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08496559751017166, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 4.089594203716823, 'alphas1': 7.760112435275788, 'alphas10': 28.284759183119615, 'alphas11': 9.817471368907537, 'alphas12': 9.119255975885816, 'alphas2': 23.2739914982372, 'alphas3': 12.573128942937668, 'alphas4': 2.2911676495093127, 'alphas5': 21.50033077583906, 'alphas6': 13.608847822781962, 'alphas7': 0.3320498674491068, 'alphas8': 12.05439863667756, 'alphas9': 18.522384004896324} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0815881, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 1.1520007696134793, 'alphas1': 10.153602112788379, 'alphas10': 0.99887388823371, 'alphas11': 28.973186467626224, 'alphas12': 1.236360741851421, 'alphas2': 21.331283102288815, 'alphas3': 6.534344292830162, 'alphas4': 14.282133457697055, 'alphas5': 9.541299075607304, 'alphas6': 15.653649335959383, 'alphas7': 18.25721792440477, 'alphas8': 10.426804663722914, 'alphas9': 15.818426777231238} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08394693715716912, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 5.94503916908042, 'alphas1': 27.118842090346593, 'alphas10': 8.782776261216851, 'alphas11': 11.43845908017494, 'alphas12': 23.181155594744126, 'alphas2': 3.136469566831792, 'alphas3': 1.0009273200261903, 'alphas4': 25.687703798437497, 'alphas5': 0.8667964203288603, 'alphas6': 19.117689496312504, 'alphas7': 14.393200502298358, 'alphas8': 27.42429461060362, 'alphas9': 13.16024728344531} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08417303812127563, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 17.43936845192567, 'alphas1': 21.412456710719194, 'alphas10': 8.577396259614986, 'alphas11': 27.05395954620562, 'alphas12': 28.784944436694786, 'alphas2': 11.104167325707296, 'alphas3': 0.6943184893474785, 'alphas4': 12.2476731658581, 'alphas5': 9.472245376165478, 'alphas6': 4.038644854230615, 'alphas7': 26.23641182981931, 'alphas8': 10.150763665061072, 'alphas9': 19.09747061101519} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08753342431355314, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 17.43936845192567, 'alphas1': 21.412456710719194, 'alphas10': 8.577396259614986, 'alphas11': 27.05395954620562, 'alphas12': 28.784944436694786, 'alphas2': 11.104167325707296, 'alphas3': 0.6943184893474785, 'alphas4': 12.2476731658581, 'alphas5': 9.472245376165478, 'alphas6': 4.038644854230615, 'alphas7': 26.23641182981931, 'alphas8': 10.150763665061072, 'alphas9': 19.09747061101519} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0841113, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 5.3582281066356865, 'alphas1': 15.681255415211705, 'alphas10': 8.896295581657066, 'alphas11': 13.534551744609985, 'alphas12': 22.57977938711562, 'alphas2': 13.536288362788408, 'alphas3': 6.287631987146093, 'alphas4': 23.768455644591135, 'alphas5': 26.628950127282103, 'alphas6': 19.844524742177693, 'alphas7': 26.913063741625518, 'alphas8': 13.160489607124898, 'alphas9': 16.553989706961612} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08607011395303, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 14.504944569559783, 'alphas1': 18.78791255904746, 'alphas10': 4.492217992672995, 'alphas11': 1.5419568187500476, 'alphas12': 14.164124479012496, 'alphas2': 6.333081551301946, 'alphas3': 21.445470539021798, 'alphas4': 0.28531673308281325, 'alphas5': 5.85478587011621, 'alphas6': 8.2184344037872, 'alphas7': 2.819642348900829, 'alphas8': 9.385167020053004, 'alphas9': 29.90259233753892} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0872176065253823, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 7.4202771700229055, 'alphas1': 24.270100041252256, 'alphas10': 14.523053912238256, 'alphas11': 24.592540391413696, 'alphas12': 15.819278755917352, 'alphas2': 28.19646621394719, 'alphas3': 8.729972252234393, 'alphas4': 1.86902591635424, 'alphas5': 21.63357667224313, 'alphas6': 24.036549649861428, 'alphas7': 13.179021351351182, 'alphas8': 24.190637641858814, 'alphas9': 17.655443703858392} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0852723845493985, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
