BayesianSearch: Saving logs to result_experiments/tuning_20181216180624/bayesian_optimizer_logs.jsonBayesianSearch: New best config found. Config: {'alphas0': 29.403517633361762, 'alphas1': 15.784035132066032, 'alphas10': 17.38286841709902, 'alphas11': 28.00140735967437, 'alphas12': 6.502679411769585, 'alphas13': 13.845113361745746, 'alphas2': 36.29674910477846, 'alphas3': 19.758267671367022, 'alphas4': 21.438165609227138, 'alphas5': 13.779732830407267, 'alphas6': 31.756895177401773, 'alphas7': 9.268274475552714, 'alphas8': 13.086789473011283, 'alphas9': 2.6426928389213833} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0866139809168304, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 29.403517633361762, 'alphas1': 15.784035132066032, 'alphas10': 17.38286841709902, 'alphas11': 28.00140735967437, 'alphas12': 6.502679411769585, 'alphas13': 13.845113361745746, 'alphas2': 36.29674910477846, 'alphas3': 19.758267671367022, 'alphas4': 21.438165609227138, 'alphas5': 13.779732830407267, 'alphas6': 31.756895177401773, 'alphas7': 9.268274475552714, 'alphas8': 13.086789473011283, 'alphas9': 2.6426928389213833} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0829756, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 0.28019685221901014, 'alphas1': 12.733914372928785, 'alphas10': 10.227553885040862, 'alphas11': 26.53265295097171, 'alphas12': 1.4369482226167474, 'alphas13': 38.506826581177464, 'alphas2': 30.539725262895267, 'alphas3': 5.970738765332233, 'alphas4': 20.73443119093269, 'alphas5': 4.969652049905338, 'alphas6': 34.7296004017091, 'alphas7': 39.995162103432385, 'alphas8': 10.19926929712562, 'alphas9': 39.38748839861203} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08645320619327532, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 36.498834728338025, 'alphas1': 23.286551976587326, 'alphas10': 2.9966462086429546, 'alphas11': 24.283288203425002, 'alphas12': 17.547960450766368, 'alphas13': 39.82565118130777, 'alphas2': 36.30725081034662, 'alphas3': 24.338188880767465, 'alphas4': 31.169842045811155, 'alphas5': 22.31419615287016, 'alphas6': 7.029193021988007, 'alphas7': 32.87427286354868, 'alphas8': 10.857542127388475, 'alphas9': 9.75406481374629} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08767219882210983, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 36.498834728338025, 'alphas1': 23.286551976587326, 'alphas10': 2.9966462086429546, 'alphas11': 24.283288203425002, 'alphas12': 17.547960450766368, 'alphas13': 39.82565118130777, 'alphas2': 36.30725081034662, 'alphas3': 24.338188880767465, 'alphas4': 31.169842045811155, 'alphas5': 22.31419615287016, 'alphas6': 7.029193021988007, 'alphas7': 32.87427286354868, 'alphas8': 10.857542127388475, 'alphas9': 9.75406481374629} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0841939, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 2.788128533020635, 'alphas1': 26.401386799643035, 'alphas10': 24.268684271995646, 'alphas11': 38.824552681915165, 'alphas12': 1.9940037220679985, 'alphas13': 35.227034012511524, 'alphas2': 34.329857413858825, 'alphas3': 16.771928803006432, 'alphas4': 27.322268972602025, 'alphas5': 12.664392338367199, 'alphas6': 3.0035314611307085, 'alphas7': 21.043787796303764, 'alphas8': 36.047574478071915, 'alphas9': 22.19926523857164} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08458553383898973, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 9.297045298523505, 'alphas1': 0.2906453767386319, 'alphas10': 31.853132538858112, 'alphas11': 26.383371725612236, 'alphas12': 8.784149767574858, 'alphas13': 36.13731826601753, 'alphas2': 7.696010566391447, 'alphas3': 8.803747387465526, 'alphas4': 4.146625666643149, 'alphas5': 6.206039218623602, 'alphas6': 38.46495881108966, 'alphas7': 36.94645187489423, 'alphas8': 22.16088576913539, 'alphas9': 38.668610224600506} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0846631276932438, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 25.17740545075959, 'alphas1': 9.250559730048993, 'alphas10': 18.118387485013994, 'alphas11': 4.704864559837225, 'alphas12': 17.981093546657107, 'alphas13': 26.875697060661143, 'alphas2': 16.980086638837896, 'alphas3': 25.212626854312337, 'alphas4': 21.2014166839231, 'alphas5': 27.37257443392901, 'alphas6': 23.163385244097157, 'alphas7': 8.48367502849253, 'alphas8': 15.362217012727104, 'alphas9': 3.477486029036001} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.086459296079727, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 24.84349563139755, 'alphas1': 12.910087656409717, 'alphas10': 26.00552124200132, 'alphas11': 37.33958224602185, 'alphas12': 5.287919818336602, 'alphas13': 1.073990770300255, 'alphas2': 15.888139811117018, 'alphas3': 28.19193866985152, 'alphas4': 7.659725293039368, 'alphas5': 4.08905797014159, 'alphas6': 25.617366586729602, 'alphas7': 12.97348231411462, 'alphas8': 38.46395494666862, 'alphas9': 36.48413193910577} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08419257644337283, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 16.119919507940992, 'alphas1': 23.432053913100557, 'alphas10': 9.59328948314688, 'alphas11': 11.402589904964572, 'alphas12': 20.6410432846449, 'alphas13': 38.26211368520366, 'alphas2': 28.88560133512703, 'alphas3': 4.367752575343995, 'alphas4': 21.079832663674058, 'alphas5': 7.4410113137096, 'alphas6': 27.588050090558923, 'alphas7': 32.68922599120726, 'alphas8': 25.156636328148974, 'alphas9': 9.870568345655899} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08565848322370113, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
