BayesianSearch: Saving logs to result_experiments/tuning_20181217125958_seq/bayesian_optimizer_logs.jsonBayesianSearch: New best config found. Config: {'alphas0': 50.780873996154284, 'alphas1': 25.404645515826793, 'alphas10': 25.137718242264558, 'alphas11': 51.83469283706296, 'alphas12': 27.05690610925576, 'alphas13': 51.741447156730885, 'alphas14': 56.9593978502809, 'alphas2': 46.661373866354054, 'alphas3': 34.562915508110265, 'alphas4': 13.248163520710818, 'alphas5': 35.02975272180764, 'alphas6': 57.6500866634073, 'alphas7': 27.513221437181805, 'alphas8': 11.900489889389982, 'alphas9': 55.44393976650193} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0684538600088181, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 50.780873996154284, 'alphas1': 25.404645515826793, 'alphas10': 25.137718242264558, 'alphas11': 51.83469283706296, 'alphas12': 27.05690610925576, 'alphas13': 51.741447156730885, 'alphas14': 56.9593978502809, 'alphas2': 46.661373866354054, 'alphas3': 34.562915508110265, 'alphas4': 13.248163520710818, 'alphas5': 35.02975272180764, 'alphas6': 57.6500866634073, 'alphas7': 27.513221437181805, 'alphas8': 11.900489889389982, 'alphas9': 55.44393976650193} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0436977, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 5.400988008469576, 'alphas1': 4.363834244765828, 'alphas10': 47.01118173530456, 'alphas11': 37.473997383207525, 'alphas12': 50.84488092821373, 'alphas13': 23.294051705133093, 'alphas14': 27.8277366739589, 'alphas2': 53.77974402570993, 'alphas3': 56.10490700658998, 'alphas4': 44.50338987058999, 'alphas5': 46.8732336944319, 'alphas6': 47.60596130354604, 'alphas7': 52.87079839752334, 'alphas8': 46.42506894826617, 'alphas9': 59.6107584258479} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06768347653691104, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 13.393421317812749, 'alphas1': 12.163733922758059, 'alphas10': 54.134739650435556, 'alphas11': 32.13208438822828, 'alphas12': 21.79348602854076, 'alphas13': 12.395522066457598, 'alphas14': 24.31198931225272, 'alphas2': 31.025309213842117, 'alphas3': 15.669907867862193, 'alphas4': 6.520621193290214, 'alphas5': 5.345349310306544, 'alphas6': 39.13177898071737, 'alphas7': 17.228810454535584, 'alphas8': 44.250455184371326, 'alphas9': 57.44527292860789} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06715515208490794, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 14.153567008853983, 'alphas1': 36.836902190506805, 'alphas10': 49.95150231708602, 'alphas11': 0.12519077859426853, 'alphas12': 17.223703478682722, 'alphas13': 36.298233160431316, 'alphas14': 24.117252615653683, 'alphas2': 49.85964779989541, 'alphas3': 39.865041917198745, 'alphas4': 51.93863970622982, 'alphas5': 30.993943427017406, 'alphas6': 15.824028999231052, 'alphas7': 25.48308358613643, 'alphas8': 18.098912720278367, 'alphas9': 8.219448952071506} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06964265627362039, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 14.153567008853983, 'alphas1': 36.836902190506805, 'alphas10': 49.95150231708602, 'alphas11': 0.12519077859426853, 'alphas12': 17.223703478682722, 'alphas13': 36.298233160431316, 'alphas14': 24.117252615653683, 'alphas2': 49.85964779989541, 'alphas3': 39.865041917198745, 'alphas4': 51.93863970622982, 'alphas5': 30.993943427017406, 'alphas6': 15.824028999231052, 'alphas7': 25.48308358613643, 'alphas8': 18.098912720278367, 'alphas9': 8.219448952071506} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0440998, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 0.0029531729455456457, 'alphas1': 49.911703300746886, 'alphas10': 9.267638275494557, 'alphas11': 14.626533142049576, 'alphas12': 30.427767721502004, 'alphas13': 21.88313191313658, 'alphas14': 32.52144078299324, 'alphas2': 17.812473942489536, 'alphas3': 31.547591849782577, 'alphas4': 21.39350760071318, 'alphas5': 50.03095566198019, 'alphas6': 53.943107454027114, 'alphas7': 49.846279687685886, 'alphas8': 50.76960522894079, 'alphas9': 28.27835570653914} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06916605476820344, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 23.20420517958112, 'alphas1': 12.08215748921016, 'alphas10': 55.70487859981965, 'alphas11': 2.695441567658068, 'alphas12': 23.140625603173326, 'alphas13': 54.787933007525425, 'alphas14': 9.649036158847245, 'alphas2': 33.421917519554775, 'alphas3': 4.200209639293502, 'alphas4': 40.45073774434863, 'alphas5': 54.908800946094715, 'alphas6': 6.724657734124763, 'alphas7': 43.878828516724454, 'alphas8': 3.31359766362338, 'alphas9': 36.218901958699874} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06873837150415721, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 22.889604070446794, 'alphas1': 50.6694218607137, 'alphas10': 25.107827043943548, 'alphas11': 57.843208207024944, 'alphas12': 33.66976236406055, 'alphas13': 0.01411470994330255, 'alphas14': 3.1508635172225796, 'alphas2': 32.11464830194258, 'alphas3': 48.27417170755389, 'alphas4': 22.84837811659403, 'alphas5': 5.735379085621974, 'alphas6': 39.91827692031338, 'alphas7': 59.83011214220001, 'alphas8': 54.64135537440156, 'alphas9': 14.512265691336312} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06733945540438385, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
