BayesianSearch: Saving logs to result_experiments/tuning_20181217201139_tot/bayesian_optimizer_logs.jsonBayesianSearch: New best config found. Config: {'alphas0': 20.693597877202198, 'alphas1': 9.631839814938377, 'alphas10': 5.976287018459998, 'alphas11': 32.80845860593137, 'alphas12': 20.244067811861957, 'alphas13': 28.62679832265244, 'alphas14': 35.978833071357734, 'alphas2': 0.9968087782913049, 'alphas3': 30.957484775262976, 'alphas4': 0.7147717750510907, 'alphas5': 20.383382346122776, 'alphas6': 17.269603722561392, 'alphas7': 17.490243211536182, 'alphas8': 2.7794759221216703, 'alphas9': 39.71980697555117} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08473394747050039, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 20.693597877202198, 'alphas1': 9.631839814938377, 'alphas10': 5.976287018459998, 'alphas11': 32.80845860593137, 'alphas12': 20.244067811861957, 'alphas13': 28.62679832265244, 'alphas14': 35.978833071357734, 'alphas2': 0.9968087782913049, 'alphas3': 30.957484775262976, 'alphas4': 0.7147717750510907, 'alphas5': 20.383382346122776, 'alphas6': 17.269603722561392, 'alphas7': 17.490243211536182, 'alphas8': 2.7794759221216703, 'alphas9': 39.71980697555117} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0815208, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: New best config found. Config: {'alphas0': 10.82704131997457, 'alphas1': 26.206664733711378, 'alphas10': 35.33046385962533, 'alphas11': 2.9017336267287552, 'alphas12': 0.41603731626583595, 'alphas13': 10.859732288783581, 'alphas14': 5.201750785311656, 'alphas2': 0.9736778112691846, 'alphas3': 9.704819331723842, 'alphas4': 26.852847207395122, 'alphas5': 9.381185700342044, 'alphas6': 35.417673152854846, 'alphas7': 23.638675905720305, 'alphas8': 6.454302123376965, 'alphas9': 10.226168466422605} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08719766957649544, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 10.82704131997457, 'alphas1': 26.206664733711378, 'alphas10': 35.33046385962533, 'alphas11': 2.9017336267287552, 'alphas12': 0.41603731626583595, 'alphas13': 10.859732288783581, 'alphas14': 5.201750785311656, 'alphas2': 0.9736778112691846, 'alphas3': 9.704819331723842, 'alphas4': 26.852847207395122, 'alphas5': 9.381185700342044, 'alphas6': 35.417673152854846, 'alphas7': 23.638675905720305, 'alphas8': 6.454302123376965, 'alphas9': 10.226168466422605} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0842281, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 39.355083358983215, 'alphas1': 39.89613417134451, 'alphas10': 21.897322711972276, 'alphas11': 18.086314481909334, 'alphas12': 5.514452191813892, 'alphas13': 24.338857624228094, 'alphas14': 25.31854055257043, 'alphas2': 34.51084789549139, 'alphas3': 22.49560384760639, 'alphas4': 22.48374793583114, 'alphas5': 16.394360234271872, 'alphas6': 16.105560251420332, 'alphas7': 39.824670028278064, 'alphas8': 27.191332532978866, 'alphas9': 27.3929616197935} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08692343443311312, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 39.577550840902475, 'alphas1': 10.426241533182509, 'alphas10': 8.89385391590201, 'alphas11': 39.94072711794267, 'alphas12': 31.45994857591287, 'alphas13': 19.571056805344888, 'alphas14': 26.513762197034385, 'alphas2': 13.876253197510419, 'alphas3': 8.525519596711263, 'alphas4': 26.83973437538284, 'alphas5': 14.749563252557682, 'alphas6': 33.15400192732689, 'alphas7': 39.8446398178323, 'alphas8': 32.54697806859338, 'alphas9': 28.350354498380128} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08607076382822645, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 25.461587483387422, 'alphas1': 21.917588175998922, 'alphas10': 25.647645760781902, 'alphas11': 17.99552564876639, 'alphas12': 32.667472461265916, 'alphas13': 25.195160276325986, 'alphas14': 25.79934604277621, 'alphas2': 38.184809357947756, 'alphas3': 22.40153563532859, 'alphas4': 35.26238308878125, 'alphas5': 37.213184532651105, 'alphas6': 2.1717435334310187, 'alphas7': 16.771535766737742, 'alphas8': 22.575357360179332, 'alphas9': 22.84798808558561} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08739154641517477, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 25.461587483387422, 'alphas1': 21.917588175998922, 'alphas10': 25.647645760781902, 'alphas11': 17.99552564876639, 'alphas12': 32.667472461265916, 'alphas13': 25.195160276325986, 'alphas14': 25.79934604277621, 'alphas2': 38.184809357947756, 'alphas3': 22.40153563532859, 'alphas4': 35.26238308878125, 'alphas5': 37.213184532651105, 'alphas6': 2.1717435334310187, 'alphas7': 16.771535766737742, 'alphas8': 22.575357360179332, 'alphas9': 22.84798808558561} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0839809, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

