BayesianSearch: Saving logs to result_experiments/tuning_20181218122730_tot/bayesian_optimizer_logs.jsonBayesianSearch: New best config found. Config: {'alphas0': 33, 'alphas1': 3, 'alphas10': 25, 'alphas11': 21, 'alphas12': 25, 'alphas13': 4, 'alphas14': 39, 'alphas2': 19, 'alphas3': 21, 'alphas4': 20, 'alphas5': 1, 'alphas6': 20, 'alphas7': 20, 'alphas8': 38, 'alphas9': 5} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08685593504428957, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 33, 'alphas1': 3, 'alphas10': 25, 'alphas11': 21, 'alphas12': 25, 'alphas13': 4, 'alphas14': 39, 'alphas2': 19, 'alphas3': 21, 'alphas4': 20, 'alphas5': 1, 'alphas6': 20, 'alphas7': 20, 'alphas8': 38, 'alphas9': 5} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0831849, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 22, 'alphas1': 13, 'alphas10': 12, 'alphas11': 23, 'alphas12': 36, 'alphas13': 10, 'alphas14': 37, 'alphas2': 19, 'alphas3': 12, 'alphas4': 11, 'alphas5': 23, 'alphas6': 22, 'alphas7': 4, 'alphas8': 23, 'alphas9': 21} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08679968078853775, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 16, 'alphas1': 34, 'alphas10': 28, 'alphas11': 36, 'alphas12': 37, 'alphas13': 14, 'alphas14': 19, 'alphas2': 7, 'alphas3': 7, 'alphas4': 33, 'alphas5': 27, 'alphas6': 31, 'alphas7': 37, 'alphas8': 3, 'alphas9': 2} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0852090215007528, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 23, 'alphas1': 15, 'alphas10': 17, 'alphas11': 7, 'alphas12': 8, 'alphas13': 34, 'alphas14': 3, 'alphas2': 12, 'alphas3': 10, 'alphas4': 38, 'alphas5': 6, 'alphas6': 38, 'alphas7': 33, 'alphas8': 11, 'alphas9': 25} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0857389998572297, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 11, 'alphas1': 6, 'alphas10': 36, 'alphas11': 35, 'alphas12': 13, 'alphas13': 1, 'alphas14': 14, 'alphas2': 31, 'alphas3': 18, 'alphas4': 5, 'alphas5': 37, 'alphas6': 38, 'alphas7': 31, 'alphas8': 33, 'alphas9': 31} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08556362467875228, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 7, 'alphas1': 3, 'alphas10': 37, 'alphas11': 13, 'alphas12': 5, 'alphas13': 9, 'alphas14': 36, 'alphas2': 10, 'alphas3': 12, 'alphas4': 30, 'alphas5': 11, 'alphas6': 19, 'alphas7': 17, 'alphas8': 10, 'alphas9': 11} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08674306832087988, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 3, 'alphas1': 37, 'alphas10': 28, 'alphas11': 5, 'alphas12': 40, 'alphas13': 37, 'alphas14': 14, 'alphas2': 39, 'alphas3': 20, 'alphas4': 8, 'alphas5': 36, 'alphas6': 39, 'alphas7': 9, 'alphas8': 3, 'alphas9': 38} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08575400242884884, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 19, 'alphas1': 15, 'alphas10': 20, 'alphas11': 21, 'alphas12': 13, 'alphas13': 29, 'alphas14': 39, 'alphas2': 35, 'alphas3': 16, 'alphas4': 13, 'alphas5': 34, 'alphas6': 14, 'alphas7': 9, 'alphas8': 13, 'alphas9': 37} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08611694288171735, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 15, 'alphas1': 10, 'alphas10': 8, 'alphas11': 3, 'alphas12': 39, 'alphas13': 6, 'alphas14': 29, 'alphas2': 3, 'alphas3': 7, 'alphas4': 12, 'alphas5': 29, 'alphas6': 22, 'alphas7': 34, 'alphas8': 0, 'alphas9': 1} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0884959348864137, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
