BayesianSearch: Saving logs to result_experiments/tuning_20181218125048_seq/bayesian_optimizer_logs.jsonBayesianSearch: New best config found. Config: {'alphas0': 3, 'alphas1': 1, 'alphas10': 20, 'alphas11': 24, 'alphas12': 35, 'alphas13': 3, 'alphas14': 14, 'alphas2': 14, 'alphas3': 25, 'alphas4': 21, 'alphas5': 17, 'alphas6': 38, 'alphas7': 9, 'alphas8': 29, 'alphas9': 9} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06859536303224982, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 3, 'alphas1': 1, 'alphas10': 20, 'alphas11': 24, 'alphas12': 35, 'alphas13': 3, 'alphas14': 14, 'alphas2': 14, 'alphas3': 25, 'alphas4': 21, 'alphas5': 17, 'alphas6': 38, 'alphas7': 9, 'alphas8': 29, 'alphas9': 9} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0447693, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 38, 'alphas1': 22, 'alphas10': 6, 'alphas11': 30, 'alphas12': 30, 'alphas13': 8, 'alphas14': 14, 'alphas2': 21, 'alphas3': 25, 'alphas4': 38, 'alphas5': 23, 'alphas6': 3, 'alphas7': 19, 'alphas8': 12, 'alphas9': 0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06514968049256724, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 37, 'alphas1': 4, 'alphas10': 19, 'alphas11': 14, 'alphas12': 27, 'alphas13': 36, 'alphas14': 15, 'alphas2': 16, 'alphas3': 20, 'alphas4': 32, 'alphas5': 18, 'alphas6': 31, 'alphas7': 1, 'alphas8': 32, 'alphas9': 20} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06969474026832945, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 37, 'alphas1': 4, 'alphas10': 19, 'alphas11': 14, 'alphas12': 27, 'alphas13': 36, 'alphas14': 15, 'alphas2': 16, 'alphas3': 20, 'alphas4': 32, 'alphas5': 18, 'alphas6': 31, 'alphas7': 1, 'alphas8': 32, 'alphas9': 20} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0446550, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: New best config found. Config: {'alphas0': 26, 'alphas1': 32, 'alphas10': 22, 'alphas11': 6, 'alphas12': 34, 'alphas13': 18, 'alphas14': 29, 'alphas2': 1, 'alphas3': 8, 'alphas4': 38, 'alphas5': 34, 'alphas6': 19, 'alphas7': 1, 'alphas8': 34, 'alphas9': 10} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.07034012411816568, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 26, 'alphas1': 32, 'alphas10': 22, 'alphas11': 6, 'alphas12': 34, 'alphas13': 18, 'alphas14': 29, 'alphas2': 1, 'alphas3': 8, 'alphas4': 38, 'alphas5': 34, 'alphas6': 19, 'alphas7': 1, 'alphas8': 34, 'alphas9': 10} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0451983, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 5, 'alphas1': 10, 'alphas10': 14, 'alphas11': 6, 'alphas12': 9, 'alphas13': 40, 'alphas14': 16, 'alphas2': 28, 'alphas3': 24, 'alphas4': 10, 'alphas5': 24, 'alphas6': 3, 'alphas7': 16, 'alphas8': 28, 'alphas9': 37} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06766012862181907, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
