BayesianSearch: Saving logs to result_experiments/tuning_20181218205305_tot/bayesian_optimizer_logs.jsonBayesianSearch: New best config found. Config: {'alphas0': 39, 'alphas1': 37, 'alphas10': 39, 'alphas11': 1, 'alphas12': 17, 'alphas13': 25, 'alphas2': 28, 'alphas3': 41, 'alphas4': 38, 'alphas5': 43, 'alphas6': 32, 'alphas7': 16, 'alphas8': 38, 'alphas9': 6} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08576080951950173, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 39, 'alphas1': 37, 'alphas10': 39, 'alphas11': 1, 'alphas12': 17, 'alphas13': 25, 'alphas2': 28, 'alphas3': 41, 'alphas4': 38, 'alphas5': 43, 'alphas6': 32, 'alphas7': 16, 'alphas8': 38, 'alphas9': 6} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0821052, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: New best config found. Config: {'alphas0': 28, 'alphas1': 34, 'alphas10': 6, 'alphas11': 15, 'alphas12': 5, 'alphas13': 45, 'alphas2': 26, 'alphas3': 27, 'alphas4': 13, 'alphas5': 35, 'alphas6': 36, 'alphas7': 12, 'alphas8': 33, 'alphas9': 34} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08577694427910437, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 28, 'alphas1': 34, 'alphas10': 6, 'alphas11': 15, 'alphas12': 5, 'alphas13': 45, 'alphas2': 26, 'alphas3': 27, 'alphas4': 13, 'alphas5': 35, 'alphas6': 36, 'alphas7': 12, 'alphas8': 33, 'alphas9': 34} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0828692, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 21, 'alphas1': 23, 'alphas10': 43, 'alphas11': 35, 'alphas12': 43, 'alphas13': 5, 'alphas2': 11, 'alphas3': 17, 'alphas4': 30, 'alphas5': 12, 'alphas6': 5, 'alphas7': 21, 'alphas8': 8, 'alphas9': 43} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08496134329038925, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 32, 'alphas1': 19, 'alphas10': 5, 'alphas11': 30, 'alphas12': 25, 'alphas13': 15, 'alphas2': 39, 'alphas3': 5, 'alphas4': 16, 'alphas5': 13, 'alphas6': 6, 'alphas7': 2, 'alphas8': 38, 'alphas9': 28} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08386305289034171, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 13, 'alphas1': 0, 'alphas10': 32, 'alphas11': 23, 'alphas12': 42, 'alphas13': 27, 'alphas2': 31, 'alphas3': 13, 'alphas4': 28, 'alphas5': 11, 'alphas6': 13, 'alphas7': 19, 'alphas8': 11, 'alphas9': 32} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08550984105315691, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 23, 'alphas1': 21, 'alphas10': 21, 'alphas11': 13, 'alphas12': 38, 'alphas13': 44, 'alphas2': 17, 'alphas3': 3, 'alphas4': 6, 'alphas5': 6, 'alphas6': 44, 'alphas7': 1, 'alphas8': 13, 'alphas9': 37} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08719504873982112, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 23, 'alphas1': 21, 'alphas10': 21, 'alphas11': 13, 'alphas12': 38, 'alphas13': 44, 'alphas2': 17, 'alphas3': 3, 'alphas4': 6, 'alphas5': 6, 'alphas6': 44, 'alphas7': 1, 'alphas8': 13, 'alphas9': 37} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0836049, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 
