BayesianSearch: Saving logs to result_experiments/tuning_20181219204439_tot/bayesian_optimizer_logs.jsonBayesianSearch: New best config found. Config: {'alphas0': 8.47208283601259, 'alphas1': 4.827800180286906, 'alphas10': 39.8635238864144, 'alphas11': 4.514332493341783, 'alphas12': 33.653626497342685, 'alphas13': 44.974827757992266, 'alphas2': 18.64659641462996, 'alphas3': 29.82580415900727, 'alphas4': 18.258003945101496, 'alphas5': 7.487268760736043, 'alphas6': 20.80158273061944, 'alphas7': 33.2225370532396, 'alphas8': 24.962558436270232, 'alphas9': 17.10105329401325} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08470433125847499, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 8.47208283601259, 'alphas1': 4.827800180286906, 'alphas10': 39.8635238864144, 'alphas11': 4.514332493341783, 'alphas12': 33.653626497342685, 'alphas13': 44.974827757992266, 'alphas2': 18.64659641462996, 'alphas3': 29.82580415900727, 'alphas4': 18.258003945101496, 'alphas5': 7.487268760736043, 'alphas6': 20.80158273061944, 'alphas7': 33.2225370532396, 'alphas8': 24.962558436270232, 'alphas9': 17.10105329401325} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0814183, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 8.853973807008252, 'alphas1': 6.20565465463796, 'alphas10': 13.277614572558333, 'alphas11': 35.34924796073874, 'alphas12': 3.170557658996626, 'alphas13': 11.446894544168051, 'alphas2': 21.507755528111723, 'alphas3': 43.850912374379185, 'alphas4': 40.95423357138615, 'alphas5': 16.635070358651422, 'alphas6': 36.267408843849566, 'alphas7': 39.184281803181584, 'alphas8': 42.44216450562364, 'alphas9': 31.371454978644174} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0818915353623429, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 3.1829503153098573, 'alphas1': 26.55962487945651, 'alphas10': 33.940036363819054, 'alphas11': 6.5759482882725155, 'alphas12': 38.991805331113824, 'alphas13': 8.998992796324929, 'alphas2': 3.2896142410857196, 'alphas3': 23.678094472846183, 'alphas4': 6.0312320566824615, 'alphas5': 44.901209242925454, 'alphas6': 8.627345983067963, 'alphas7': 1.3757148252007911, 'alphas8': 1.675551925884139, 'alphas9': 3.130146104561166} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08285006776777412, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 27.42349944298133, 'alphas1': 8.251268753361718, 'alphas10': 2.0667472323136646, 'alphas11': 4.478521641468102, 'alphas12': 43.782194497978274, 'alphas13': 11.591680880872508, 'alphas2': 14.446987970628545, 'alphas3': 3.0354914657851673, 'alphas4': 10.077351455086841, 'alphas5': 3.331844603368533, 'alphas6': 20.471917228866293, 'alphas7': 26.74334821521161, 'alphas8': 17.513287522511856, 'alphas9': 4.636316489696962} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.084858569765055, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 27.42349944298133, 'alphas1': 8.251268753361718, 'alphas10': 2.0667472323136646, 'alphas11': 4.478521641468102, 'alphas12': 43.782194497978274, 'alphas13': 11.591680880872508, 'alphas2': 14.446987970628545, 'alphas3': 3.0354914657851673, 'alphas4': 10.077351455086841, 'alphas5': 3.331844603368533, 'alphas6': 20.471917228866293, 'alphas7': 26.74334821521161, 'alphas8': 17.513287522511856, 'alphas9': 4.636316489696962} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0813853, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: New best config found. Config: {'alphas0': 12.629293000651314, 'alphas1': 7.444179606646656, 'alphas10': 29.741608338216256, 'alphas11': 23.91545706932961, 'alphas12': 3.265784105662112, 'alphas13': 28.733094281775866, 'alphas2': 0.9053610661609812, 'alphas3': 11.6142200633712, 'alphas4': 30.911106589052995, 'alphas5': 15.457548980717533, 'alphas6': 19.379404719832934, 'alphas7': 42.512310730881815, 'alphas8': 12.64056048838032, 'alphas9': 33.38739239318771} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0855533348502659, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 12.629293000651314, 'alphas1': 7.444179606646656, 'alphas10': 29.741608338216256, 'alphas11': 23.91545706932961, 'alphas12': 3.265784105662112, 'alphas13': 28.733094281775866, 'alphas2': 0.9053610661609812, 'alphas3': 11.6142200633712, 'alphas4': 30.911106589052995, 'alphas5': 15.457548980717533, 'alphas6': 19.379404719832934, 'alphas7': 42.512310730881815, 'alphas8': 12.64056048838032, 'alphas9': 33.38739239318771} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0825211, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

