BayesianSearch: New best config found. Config 0: {'alphas0': 52.54151303146971, 'alphas1': 32.10322500227954, 'alphas2': 17.764835329288886, 'alphas3': 32.08574768291859, 'alphas4': 17.3529136248975, 'alphas5': 48.28926691820772, 'alphas6': 25.832986383400293, 'alphas7': 56.38005326223616, 'alphas8': 17.13611038520993, 'alphas9': 16.597246172038354, 'alphas10': 20.048684782414014, 'alphas11': 54.43533269464357, 'alphas12': 7.399602998159877, 'alphas13': 57.22126032703786} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11430492185554557, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 49.25823005513199, 'alphas1': 0.11764604192587627, 'alphas2': 56.72729103473871, 'alphas3': 44.558052465557, 'alphas4': 6.352887673871283, 'alphas5': 16.75350428700543, 'alphas6': 53.13996587858247, 'alphas7': 33.73321925994754, 'alphas8': 22.51004389118028, 'alphas9': 58.44113081741844, 'alphas10': 28.046121218676078, 'alphas11': 7.345856726602186, 'alphas12': 17.909381834148842, 'alphas13': 22.600176157011134} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11516594660707258, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 54.84142388604861, 'alphas1': 20.082380942012385, 'alphas2': 55.626586529294094, 'alphas3': 38.33107529916227, 'alphas4': 13.726309118348595, 'alphas5': 31.881560848748734, 'alphas6': 10.610571785237203, 'alphas7': 59.411103408577965, 'alphas8': 17.853903408341957, 'alphas9': 32.003581258928094, 'alphas10': 47.726778579158534, 'alphas11': 7.720327987480119, 'alphas12': 5.175979510587011, 'alphas13': 18.284546494579132} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11215749670254262, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 33.723035121278386, 'alphas1': 48.583336315823516, 'alphas2': 19.999936721244065, 'alphas3': 36.03701112489043, 'alphas4': 15.093162173580664, 'alphas5': 57.646979249955805, 'alphas6': 9.424085363639, 'alphas7': 26.15611720699556, 'alphas8': 49.291592964669945, 'alphas9': 34.76676361692233, 'alphas10': 13.753604279693837, 'alphas11': 46.300911597779915, 'alphas12': 32.43215365427879, 'alphas13': 27.814385473596776} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11505292273481336, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 28.161144491785006, 'alphas1': 33.57486041439964, 'alphas2': 42.84825398943982, 'alphas3': 56.829065402938376, 'alphas4': 36.13627962460734, 'alphas5': 45.370873812535365, 'alphas6': 6.7578592519501886, 'alphas7': 15.348988734414121, 'alphas8': 20.866662775198726, 'alphas9': 29.754977514959904, 'alphas10': 27.132052721757116, 'alphas11': 26.527220583229997, 'alphas12': 7.810803422339864, 'alphas13': 26.697014766641935} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11454225065986963, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 16.172682090596933, 'alphas1': 44.526779598412126, 'alphas2': 32.41647466012485, 'alphas3': 40.56553751507721, 'alphas4': 6.194607612211897, 'alphas5': 22.812223323042037, 'alphas6': 18.619718363084274, 'alphas7': 40.551837250386555, 'alphas8': 38.29144175558512, 'alphas9': 32.551625536970256, 'alphas10': 25.553600528980432, 'alphas11': 21.324457852122155, 'alphas12': 38.0655442236582, 'alphas13': 2.878115976507941} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11397265843386235, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 3.1308521022944267, 'alphas1': 36.610976963938434, 'alphas2': 41.66798115346563, 'alphas3': 16.704364036946203, 'alphas4': 25.651108826310896, 'alphas5': 19.528416219515538, 'alphas6': 51.586519893835984, 'alphas7': 37.39534485645122, 'alphas8': 30.25369539574989, 'alphas9': 19.184093137146643, 'alphas10': 56.11981765715373, 'alphas11': 44.93000387794418, 'alphas12': 1.320125704174271, 'alphas13': 47.816340865576045} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11181340364570172, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 14.344031934619657, 'alphas1': 41.32085032894575, 'alphas2': 13.740864417013292, 'alphas3': 34.86783249412176, 'alphas4': 9.065235068753632, 'alphas5': 31.46044129263941, 'alphas6': 12.879393038389699, 'alphas7': 26.911714299866183, 'alphas8': 15.983317419792305, 'alphas9': 32.13015619111034, 'alphas10': 29.834923701216734, 'alphas11': 58.96274443899534, 'alphas12': 31.824912160462816, 'alphas13': 20.32656700294059} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.113329453295499, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 0.3583631203757821, 'alphas1': 2.2823587990240406, 'alphas2': 17.622411163003772, 'alphas3': 26.988897073253987, 'alphas4': 45.49874171285533, 'alphas5': 45.1778114200788, 'alphas6': 28.451548424770788, 'alphas7': 25.288552905978136, 'alphas8': 40.08521360383101, 'alphas9': 51.01970136088993, 'alphas10': 50.97734988403931, 'alphas11': 40.45063909828645, 'alphas12': 58.91339305390963, 'alphas13': 18.628433727976237} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10985672090744945, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 1.112864633548696, 'alphas1': 13.498694826439886, 'alphas2': 21.849334673894738, 'alphas3': 31.090884900665703, 'alphas4': 58.95706902773069, 'alphas5': 28.225456303426245, 'alphas6': 5.0927939140036775, 'alphas7': 23.31554176309259, 'alphas8': 7.094588115831234, 'alphas9': 36.61775173225373, 'alphas10': 27.73214293185846, 'alphas11': 15.072463428301235, 'alphas12': 9.586088919066322, 'alphas13': 21.36384059062391} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1123929382876191, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 17.078695169620577, 'alphas1': 13.975854768789219, 'alphas2': 51.43751805553144, 'alphas3': 35.007004278601215, 'alphas4': 58.90896015648897, 'alphas5': 45.79191528479131, 'alphas6': 12.342980368418475, 'alphas7': 22.69410469204813, 'alphas8': 25.75149942751288, 'alphas9': 26.199497935489205, 'alphas10': 55.76077271158906, 'alphas11': 42.613226978499576, 'alphas12': 17.70370112611702, 'alphas13': 54.024991528217214} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11216811442272283, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
