BayesianSearch: New best config found. Config 0: {'alphas0': 15.300066405237992, 'alphas1': 4.492096029397839, 'alphas2': 15.666118456072747, 'alphas3': 21.171976244307384, 'alphas4': 29.40265331089242, 'alphas5': 2.0808282453247755, 'alphas6': 10.18126911668966, 'alphas7': 44.63001922876332, 'alphas8': 47.46460606368056, 'alphas9': 41.52351175382619, 'alphas10': 23.087767868084565, 'alphas11': 28.36875846424194, 'alphas12': 31.706400446308006, 'alphas13': 51.27388851909529} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.05312144680650023, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 1 is suboptimal. Config: {'alphas0': 52.167412250582956, 'alphas1': 44.810388223584305, 'alphas2': 50.67664517449356, 'alphas3': 41.900913084059574, 'alphas4': 28.030611619580327, 'alphas5': 1.6052727631156642, 'alphas6': 22.428541680466726, 'alphas7': 42.44547328240502, 'alphas8': 39.305700205052176, 'alphas9': 1.5021635537316396, 'alphas10': 51.77843241776643, 'alphas11': 46.401562464176166, 'alphas12': 12.894133484407575, 'alphas13': 37.85590756489489} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.05312078892668169, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 2: {'alphas0': 8.027912439272201, 'alphas1': 59.25256503685418, 'alphas2': 32.54589078527214, 'alphas3': 17.188440968724358, 'alphas4': 24.59864945703227, 'alphas5': 28.431422988891732, 'alphas6': 29.905858029523696, 'alphas7': 14.596013129421099, 'alphas8': 12.128188325558828, 'alphas9': 50.08787537089525, 'alphas10': 0.7479363781394313, 'alphas11': 52.007833050449534, 'alphas12': 12.709567782360404, 'alphas13': 12.649597748636044} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.055245904856386883, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 3: {'alphas0': 22.161025690882642, 'alphas1': 44.74587024739659, 'alphas2': 54.99361859781982, 'alphas3': 11.343511075040913, 'alphas4': 29.253026839935636, 'alphas5': 31.41218589514788, 'alphas6': 17.5417499110683, 'alphas7': 33.82935743587164, 'alphas8': 32.48820636903996, 'alphas9': 31.44175993388109, 'alphas10': 13.696113805142177, 'alphas11': 54.57365413328673, 'alphas12': 57.13834652916931, 'alphas13': 39.52997984875105} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0562884353111614, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 28.03122932789126, 'alphas1': 10.50341860319172, 'alphas2': 42.21320877151215, 'alphas3': 40.34923399624984, 'alphas4': 4.824573436380702, 'alphas5': 47.635431290715296, 'alphas6': 0.056077092551349864, 'alphas7': 45.41204240569619, 'alphas8': 18.37082795518957, 'alphas9': 14.137327897587394, 'alphas10': 19.24125511324558, 'alphas11': 35.41420809573782, 'alphas12': 48.44222115364596, 'alphas13': 47.40340239887} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.055914341994205016, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 36.549306495636145, 'alphas1': 57.00682046560594, 'alphas2': 45.49493563231016, 'alphas3': 29.410590631917387, 'alphas4': 26.367815369708644, 'alphas5': 15.892596830391133, 'alphas6': 16.439118691506675, 'alphas7': 51.99907922438007, 'alphas8': 34.24696747994466, 'alphas9': 32.12006442004627, 'alphas10': 53.167856234670936, 'alphas11': 58.25104163827327, 'alphas12': 8.3555467869544, 'alphas13': 44.71474396497233} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.05413341156462573, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 35.60862302779543, 'alphas1': 45.37125216078062, 'alphas2': 24.37137854174803, 'alphas3': 44.137147986669795, 'alphas4': 43.05169415923892, 'alphas5': 15.286345607172132, 'alphas6': 1.8749272936637755, 'alphas7': 3.7645188009464623, 'alphas8': 59.07518804679275, 'alphas9': 37.56598704664461, 'alphas10': 36.0177357859777, 'alphas11': 57.04979482901831, 'alphas12': 48.892081036415924, 'alphas13': 42.68138752881561} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.055082567932728525, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 38.45661985033077, 'alphas1': 35.33806589679447, 'alphas2': 6.248137151776609, 'alphas3': 20.745028439011115, 'alphas4': 37.2574890770895, 'alphas5': 56.0149718996794, 'alphas6': 38.09950743343275, 'alphas7': 41.56021371908098, 'alphas8': 23.52438265333278, 'alphas9': 39.94537651025076, 'alphas10': 4.2327897829934455, 'alphas11': 9.673591283475638, 'alphas12': 14.85887269078541, 'alphas13': 1.6910699353714946} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.055999917076089596, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 17.1323332011575, 'alphas1': 58.90881356364673, 'alphas2': 52.308641281910106, 'alphas3': 40.15872095839307, 'alphas4': 37.433170996816386, 'alphas5': 35.385485271974495, 'alphas6': 34.06614746168897, 'alphas7': 40.66528961903214, 'alphas8': 15.194317469404407, 'alphas9': 13.83902222628407, 'alphas10': 21.028622387815723, 'alphas11': 2.6019855218792247, 'alphas12': 37.33001166697217, 'alphas13': 5.480184908283541} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.05579600963718813, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 3.4311776646985757, 'alphas1': 57.75398015500956, 'alphas2': 58.353522643036065, 'alphas3': 5.683320765703134, 'alphas4': 32.50768881720427, 'alphas5': 33.586281610171014, 'alphas6': 27.016424784285768, 'alphas7': 37.262607745188824, 'alphas8': 27.626420772518085, 'alphas9': 23.934521515185086, 'alphas10': 35.2421032622507, 'alphas11': 57.958370221516724, 'alphas12': 48.19967738641588, 'alphas13': 1.7235681775532767} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.05555747574955893, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 30.27252933088664, 'alphas1': 35.99230531128658, 'alphas2': 43.123427814373834, 'alphas3': 44.93392115883868, 'alphas4': 17.22705838709148, 'alphas5': 22.36653702614367, 'alphas6': 0.38680547119286823, 'alphas7': 5.321620478915961, 'alphas8': 11.305576615970974, 'alphas9': 23.7424081640935, 'alphas10': 53.01924356843348, 'alphas11': 49.8116925689417, 'alphas12': 48.626013100177026, 'alphas13': 43.530343906195796} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.05410599675610974, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
