BayesianSearch: New best config found. Config 0: {'alphas0': 87.56918838578287, 'alphas1': 53.50537500379923, 'alphas2': 29.608058882148143, 'alphas3': 53.476246138197645, 'alphas4': 28.9215227081625, 'alphas5': 80.4821115303462, 'alphas6': 43.05497730566715, 'alphas7': 93.96675543706027, 'alphas8': 28.56018397534988, 'alphas9': 27.662076953397257, 'alphas10': 33.41447463735669} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10858347144504209, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 90.72555449107261, 'alphas1': 12.332671663599795, 'alphas2': 95.36876721172976, 'alphas3': 82.09705009188664, 'alphas4': 0.19607673654312713, 'alphas5': 94.54548505789786, 'alphas6': 74.26342077592832, 'alphas7': 10.588146123118806, 'alphas8': 27.92250714500905, 'alphas9': 88.56660979763745, 'alphas10': 56.22203209991257} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10964365051633383, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 37.5167398186338, 'alphas1': 97.4018846956974, 'alphas2': 46.74353536446013, 'alphas3': 12.243094544336977, 'alphas4': 29.848969723581405, 'alphas5': 37.666960261685226, 'alphas6': 91.40237314341435, 'alphas7': 33.470634903353975, 'alphas8': 92.7109775488235, 'alphas9': 63.88512549860379, 'alphas10': 22.877181863914327} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10227574995140337, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 3: {'alphas0': 53.13593474791456, 'alphas1': 17.684286308728673, 'alphas2': 99.01850568096327, 'alphas3': 29.756505680569926, 'alphas4': 53.339302098213494, 'alphas5': 79.54463096526422, 'alphas6': 12.867213312466866, 'alphas7': 8.626632517645017, 'alphas8': 30.474244157631887, 'alphas9': 56.205058535463984, 'alphas10': 80.97222719303919} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11206036460329688, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 33.3332278687401, 'alphas1': 60.06168520815072, 'alphas2': 25.155270289301107, 'alphas3': 96.07829874992633, 'alphas4': 15.706808939398334, 'alphas5': 43.59352867832593, 'alphas6': 82.15265494111658, 'alphas7': 57.94460602820388, 'alphas8': 22.92267379948973, 'alphas9': 77.16818599629985, 'alphas10': 54.05358942379799} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11204957351413247, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 46.35730912266129, 'alphas1': 46.93524081964168, 'alphas2': 55.95810069066606, 'alphas3': 71.41375664906636, 'alphas4': 94.71510900489729, 'alphas5': 60.2271327076789, 'alphas6': 75.61812302089228, 'alphas7': 11.263098753250315, 'alphas8': 25.581647890690203, 'alphas9': 34.77777129199788, 'alphas10': 49.59162919159984} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11094814687917298, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 45.22008786959519, 'alphas1': 44.21203430538333, 'alphas2': 13.018005703899775, 'alphas3': 44.49502461106989, 'alphas4': 26.954470150994887, 'alphas5': 74.21129933068687, 'alphas6': 54.02745776687474, 'alphas7': 67.60922919179535, 'alphas8': 10.324346020353161, 'alphas9': 38.02037220507006, 'alphas10': 31.032863938473792} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11110966323004166, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 67.58639541731092, 'alphas1': 63.81906959264187, 'alphas2': 54.252709228283756, 'alphas3': 42.58933421496739, 'alphas4': 35.54076308687026, 'alphas5': 63.44257370609701, 'alphas6': 4.796859960846568, 'alphas7': 5.218086837157378, 'alphas8': 61.01829493989739, 'alphas9': 69.44663525577606, 'alphas10': 27.84060672824367} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.09965808255041449, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 8: {'alphas0': 42.751848043851496, 'alphas1': 32.54736036585923, 'alphas2': 85.9775331563933, 'alphas3': 62.32557476075202, 'alphas4': 50.42282565958315, 'alphas5': 31.973488561911072, 'alphas6': 93.53302942858956, 'alphas7': 74.88333979657364, 'alphas8': 2.2002095069571186, 'alphas9': 79.69390144262675, 'alphas10': 23.90671989103276} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.113023443740866, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 68.86808388157625, 'alphas1': 22.901440695022153, 'alphas2': 58.113054156869595, 'alphas3': 15.108725114589387, 'alphas4': 52.43406882106568, 'alphas5': 21.46565506398283, 'alphas6': 44.85285716644364, 'alphas7': 26.63886236632051, 'alphas8': 53.55026031851723, 'alphas9': 49.724872835361225, 'alphas10': 98.27124073165889} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11024879151601058, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 53.041520267438024, 'alphas1': 33.87761167156765, 'alphas2': 0.5972718672929702, 'alphas3': 3.8039313317067345, 'alphas4': 29.370685271672954, 'alphas5': 44.981495122089974, 'alphas6': 75.8312361880922, 'alphas7': 75.29635236679799, 'alphas8': 47.41924737461798, 'alphas9': 42.14758817663022, 'alphas10': 66.80868933971834} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11142846575428239, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
