BayesianSearch: New best config found. Config 0: {'alphas0': 875.6918838578285, 'alphas1': 535.0537500379922, 'alphas2': 296.0805888214814, 'alphas3': 534.7624613819764, 'alphas4': 289.215227081625, 'alphas5': 804.821115303462, 'alphas6': 430.54977305667154, 'alphas7': 939.6675543706027, 'alphas8': 285.6018397534988, 'alphas9': 276.6207695339726} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10440605628606814, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 334.1447463735669, 'alphas1': 907.2555449107261, 'alphas2': 123.32671663599795, 'alphas3': 953.6876721172977, 'alphas4': 820.9705009188665, 'alphas5': 1.9607673654312712, 'alphas6': 945.4548505789786, 'alphas7': 742.6342077592832, 'alphas8': 105.88146123118806, 'alphas9': 279.2250714500905} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1080908386010109, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 885.6660979763745, 'alphas1': 562.2203209991256, 'alphas2': 375.16739818633806, 'alphas3': 974.018846956974, 'alphas4': 467.4353536446013, 'alphas5': 122.43094544336977, 'alphas6': 298.48969723581405, 'alphas7': 376.6696026168522, 'alphas8': 914.0237314341435, 'alphas9': 334.70634903353977} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10153598197415144, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 927.109775488235, 'alphas1': 638.8512549860379, 'alphas2': 228.77181863914325, 'alphas3': 531.3593474791456, 'alphas4': 176.84286308728673, 'alphas5': 990.1850568096328, 'alphas6': 297.56505680569927, 'alphas7': 533.3930209821349, 'alphas8': 795.4463096526422, 'alphas9': 128.67213312466865} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10211907416857213, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 4: {'alphas0': 86.26632517645018, 'alphas1': 304.74244157631887, 'alphas2': 562.0505853546398, 'alphas3': 809.7222719303919, 'alphas4': 333.3322786874011, 'alphas5': 600.6168520815072, 'alphas6': 251.55270289301106, 'alphas7': 960.7829874992634, 'alphas8': 157.06808939398334, 'alphas9': 435.9352867832593} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11389571228659233, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 821.5265494111658, 'alphas1': 579.4460602820388, 'alphas2': 229.2267379948973, 'alphas3': 771.6818599629985, 'alphas4': 540.5358942379798, 'alphas5': 463.5730912266129, 'alphas6': 469.3524081964168, 'alphas7': 559.5810069066606, 'alphas8': 714.1375664906636, 'alphas9': 947.151090048973} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10740284813907137, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 602.271327076789, 'alphas1': 756.1812302089228, 'alphas2': 112.63098753250314, 'alphas3': 255.816478906902, 'alphas4': 347.7777129199788, 'alphas5': 495.9162919159984, 'alphas6': 452.2008786959519, 'alphas7': 442.1203430538333, 'alphas8': 130.18005703899775, 'alphas9': 444.9502461106989} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10077203675040494, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 269.5447015099489, 'alphas1': 742.1129933068687, 'alphas2': 540.2745776687474, 'alphas3': 676.0922919179535, 'alphas4': 103.24346020353161, 'alphas5': 380.2037220507006, 'alphas6': 310.3286393847379, 'alphas7': 675.8639541731093, 'alphas8': 638.1906959264186, 'alphas9': 542.5270922828375} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10870615135915497, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 425.8933421496739, 'alphas1': 355.4076308687026, 'alphas2': 634.42573706097, 'alphas3': 47.96859960846568, 'alphas4': 52.18086837157378, 'alphas5': 610.1829493989738, 'alphas6': 694.4663525577606, 'alphas7': 278.4060672824367, 'alphas8': 427.5184804385149, 'alphas9': 325.4736036585923} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10933330037149792, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 859.775331563933, 'alphas1': 623.2557476075202, 'alphas2': 504.22825659583145, 'alphas3': 319.73488561911074, 'alphas4': 935.3302942858955, 'alphas5': 748.8333979657364, 'alphas6': 22.002095069571183, 'alphas7': 796.9390144262675, 'alphas8': 239.06719891032762, 'alphas9': 688.6808388157626} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.09933519059685479, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 229.0144069502215, 'alphas1': 581.1305415686959, 'alphas2': 151.08725114589384, 'alphas3': 524.3406882106568, 'alphas4': 214.6565506398283, 'alphas5': 448.52857166443636, 'alphas6': 266.38862366320507, 'alphas7': 535.5026031851722, 'alphas8': 497.24872835361225, 'alphas9': 982.712407316589} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11138006568646518, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
