BayesianSearch: New best config found. Config 0: {'alphas0': 82.14069508301314, 'alphas1': 18.69380912750045, 'alphas2': 81.67594684492835, 'alphas3': 18.354449123581766, 'alphas4': 14.211045966767713, 'alphas5': 43.382051919045615, 'alphas6': 9.182715995119063, 'alphas7': 38.648164606366606, 'alphas8': 85.78866593940012} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11213504003597718, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 1 is suboptimal. Config: {'alphas0': 29.040936571147284, 'alphas1': 30.445724339346143, 'alphas2': 21.421678397038217, 'alphas3': 78.610524393808, 'alphas4': 24.322920527726215, 'alphas5': 44.34441688903964, 'alphas6': 79.85353917210259, 'alphas7': 18.474298033287386, 'alphas8': 2.2546275002344967} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1112943206992991, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 23.340096956219476, 'alphas1': 19.166270392940593, 'alphas2': 6.515952910291424, 'alphas3': 76.68335815552032, 'alphas4': 13.50761029286173, 'alphas5': 18.976571255170022, 'alphas6': 30.379830230111132, 'alphas7': 61.35881514413272, 'alphas8': 99.94208524122715} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11166425505279239, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 59.238668189379375, 'alphas1': 32.91687822857971, 'alphas2': 75.1115413198186, 'alphas3': 74.22845995601796, 'alphas4': 29.035616006783364, 'alphas5': 0.2883682282501799, 'alphas6': 37.026926957701924, 'alphas7': 59.28893491126581, 'alphas8': 26.478863715684547} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11075329662771907, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 4: {'alphas0': 26.73757885088362, 'alphas1': 75.88610840564857, 'alphas2': 4.436659986162118, 'alphas3': 22.803140908155743, 'alphas4': 29.956307721404123, 'alphas5': 15.714037793462534, 'alphas6': 44.85902821931165, 'alphas7': 66.16282734709654, 'alphas8': 82.22419123599559} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1123764475682928, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 5: {'alphas0': 27.32407707784362, 'alphas1': 5.027801000544797, 'alphas2': 72.31019351247284, 'alphas3': 65.29304162564186, 'alphas4': 72.38803422598383, 'alphas5': 13.976185183626901, 'alphas6': 48.33323318706125, 'alphas7': 21.395771312856, 'alphas8': 70.35258681450152} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11468575917579862, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 13.466672598854226, 'alphas1': 35.581444837874336, 'alphas2': 8.899214126660118, 'alphas3': 48.98369736850624, 'alphas4': 0.4425884481634835, 'alphas5': 69.1103954257115, 'alphas6': 86.18414473171173, 'alphas7': 45.34469769157846, 'alphas8': 43.81461204392626} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11203249000210742, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 25.36491196885508, 'alphas1': 35.020537623640315, 'alphas2': 93.51883772534713, 'alphas3': 78.52263219685081, 'alphas4': 30.946726178636847, 'alphas5': 8.570740866067062, 'alphas6': 43.436069095940454, 'alphas7': 69.98555860307266, 'alphas8': 1.201212227032456} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1116634739564285, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 91.40235319741474, 'alphas1': 93.63312288862984, 'alphas2': 50.79713084566679, 'alphas3': 95.83408528596105, 'alphas4': 12.112031156752904, 'alphas5': 24.671935581010857, 'alphas6': 43.652143550215904, 'alphas7': 60.317544815362346, 'alphas8': 72.06075180068122} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10727150364478465, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 48.688952478579125, 'alphas1': 30.204664249934893, 'alphas2': 39.74421754735917, 'alphas3': 21.49244686146879, 'alphas4': 27.664656602204335, 'alphas5': 74.42272072926207, 'alphas6': 19.63995371164839, 'alphas7': 91.0918368218758, 'alphas8': 98.14117918857825} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11315896586113046, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 55.523281298907854, 'alphas1': 53.69953460741317, 'alphas2': 72.18407942951127, 'alphas3': 3.0037898175533715, 'alphas4': 74.32720765620489, 'alphas5': 24.874104191244744, 'alphas6': 91.89482497405044, 'alphas7': 2.8046703191743747, 'alphas8': 65.16187166597851} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.09870894198391539, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
