BayesianSearch: New best config found. Config 0: {'alphas0': 82.14069508301314, 'alphas1': 18.69380912750045, 'alphas2': 81.67594684492835, 'alphas3': 18.354449123581766, 'alphas4': 14.211045966767713, 'alphas5': 43.382051919045615, 'alphas6': 9.182715995119063, 'alphas7': 38.648164606366606, 'alphas8': 85.78866593940012, 'alphas9': 29.040936571147284, 'alphas10': 30.445724339346143, 'alphas11': 21.421678397038217} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11113606680688631, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 1 is suboptimal. Config: {'alphas0': 78.610524393808, 'alphas1': 24.322920527726215, 'alphas2': 44.34441688903964, 'alphas3': 79.85353917210259, 'alphas4': 18.474298033287386, 'alphas5': 2.2546275002344967, 'alphas6': 23.340096956219476, 'alphas7': 19.166270392940593, 'alphas8': 6.515952910291424, 'alphas9': 76.68335815552032, 'alphas10': 13.50761029286173, 'alphas11': 18.976571255170022} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10595945061023353, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 2: {'alphas0': 30.379830230111132, 'alphas1': 61.35881514413272, 'alphas2': 99.94208524122715, 'alphas3': 59.238668189379375, 'alphas4': 32.91687822857971, 'alphas5': 75.1115413198186, 'alphas6': 74.22845995601796, 'alphas7': 29.035616006783364, 'alphas8': 0.2883682282501799, 'alphas9': 37.026926957701924, 'alphas10': 59.28893491126581, 'alphas11': 26.478863715684547} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11335077576586002, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 26.73757885088362, 'alphas1': 75.88610840564857, 'alphas2': 4.436659986162118, 'alphas3': 22.803140908155743, 'alphas4': 29.956307721404123, 'alphas5': 15.714037793462534, 'alphas6': 44.85902821931165, 'alphas7': 66.16282734709654, 'alphas8': 82.22419123599559, 'alphas9': 27.32407707784362, 'alphas10': 5.027801000544797, 'alphas11': 72.31019351247284} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11072157982816597, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 65.29304162564186, 'alphas1': 72.38803422598383, 'alphas2': 13.976185183626901, 'alphas3': 48.33323318706125, 'alphas4': 21.395771312856, 'alphas5': 70.35258681450152, 'alphas6': 13.466672598854226, 'alphas7': 35.581444837874336, 'alphas8': 8.899214126660118, 'alphas9': 48.98369736850624, 'alphas10': 0.4425884481634835, 'alphas11': 69.1103954257115} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10529122621342524, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 86.18414473171173, 'alphas1': 45.34469769157846, 'alphas2': 43.81461204392626, 'alphas3': 25.36491196885508, 'alphas4': 35.020537623640315, 'alphas5': 93.51883772534713, 'alphas6': 78.52263219685081, 'alphas7': 30.946726178636847, 'alphas8': 8.570740866067062, 'alphas9': 43.436069095940454, 'alphas10': 69.98555860307266, 'alphas11': 1.201212227032456} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11068092201525838, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 91.40235319741474, 'alphas1': 93.63312288862984, 'alphas2': 50.79713084566679, 'alphas3': 95.83408528596105, 'alphas4': 12.112031156752904, 'alphas5': 24.671935581010857, 'alphas6': 43.652143550215904, 'alphas7': 60.317544815362346, 'alphas8': 72.06075180068122, 'alphas9': 48.688952478579125, 'alphas10': 30.204664249934893, 'alphas11': 39.74421754735917} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10735255132807128, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 21.49244686146879, 'alphas1': 27.664656602204335, 'alphas2': 74.42272072926207, 'alphas3': 19.63995371164839, 'alphas4': 91.0918368218758, 'alphas5': 98.14117918857825, 'alphas6': 55.523281298907854, 'alphas7': 53.69953460741317, 'alphas8': 72.18407942951127, 'alphas9': 3.0037898175533715, 'alphas10': 74.32720765620489, 'alphas11': 24.874104191244744} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11008235721978459, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 91.89482497405044, 'alphas1': 2.8046703191743747, 'alphas2': 65.16187166597851, 'alphas3': 20.00825403267445, 'alphas4': 94.23745083839647, 'alphas5': 62.67138206658196, 'alphas6': 74.53243990011137, 'alphas7': 61.918264572870974, 'alphas8': 21.979467468250085, 'alphas9': 12.122997767906543, 'alphas10': 91.67386907426605, 'alphas11': 98.69150901244743} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11268917243012404, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 14.116814119905877, 'alphas1': 98.76329028525794, 'alphas2': 12.234377575322478, 'alphas3': 6.334603437125254, 'alphas4': 38.27033000713571, 'alphas5': 34.21572571265626, 'alphas6': 39.38730057351958, 'alphas7': 88.36807106551052, 'alphas8': 84.35913721803817, 'alphas9': 55.638470904334284, 'alphas10': 32.35647736877322, 'alphas11': 71.82544367114846} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11325096827842893, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 33.48862948534298, 'alphas1': 95.71828973555738, 'alphas2': 14.748773728711265, 'alphas3': 16.88940852753347, 'alphas4': 71.10703387926044, 'alphas5': 80.13607229015489, 'alphas6': 2.084286350506071, 'alphas7': 20.60503645623804, 'alphas8': 30.351121151891686, 'alphas9': 39.200966714578065, 'alphas10': 73.7575938094595, 'alphas11': 67.51981522501997} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11122819356230512, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
