BayesianSearch: New best config found. Config 0: {'alphas0': 35.570677093501104, 'alphas1': 50.65594491486105, 'alphas2': 51.47673705736542, 'alphas3': 50.83510432704754, 'alphas4': 37.41382180715835, 'alphas5': 23.062902437561995, 'alphas6': 17.85207639266834, 'alphas7': 3.4027786390465917, 'alphas8': 16.359377674806794, 'alphas9': 28.659907039281, 'alphas10': 48.730123726529605, 'alphas11': 28.798630342503447, 'alphas12': 23.56708776604979} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.060783520660115685, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 50.164725812242665, 'alphas1': 20.243769625036105, 'alphas2': 38.89031232307184, 'alphas3': 22.094492390432883, 'alphas4': 57.429309537182796, 'alphas5': 8.42104682475871, 'alphas6': 52.205235501506195, 'alphas7': 28.416482716422635, 'alphas8': 48.054645118778666, 'alphas9': 31.228648773072297, 'alphas10': 40.732771807137624, 'alphas11': 43.237959283555014, 'alphas12': 34.921187524506436} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06203749833081363, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 32.242393766940644, 'alphas1': 45.51693745934144, 'alphas2': 6.354456431267529, 'alphas3': 28.416025160799453, 'alphas4': 11.1799405996056, 'alphas5': 44.215090627737496, 'alphas6': 12.993021265462316, 'alphas7': 8.113090404327124, 'alphas8': 19.44846046759285, 'alphas9': 8.980492031020992, 'alphas10': 13.339283295095262, 'alphas11': 23.189338867551722, 'alphas12': 54.15590853176429} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.060392831853111555, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 3: {'alphas0': 26.99699939467366, 'alphas1': 36.78380747304795, 'alphas2': 54.14091499043907, 'alphas3': 5.956821021538434, 'alphas4': 58.188544064804944, 'alphas5': 39.18840214787627, 'alphas6': 10.25457510816271, 'alphas7': 21.489130018171505, 'alphas8': 45.04116847310739, 'alphas9': 36.46984012292807, 'alphas10': 19.502833740501153, 'alphas11': 2.305525588364084, 'alphas12': 38.05644347744011} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06351346138825889, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 57.536956117471235, 'alphas1': 39.167419020329454, 'alphas2': 38.10353241621384, 'alphas3': 59.71797406067327, 'alphas4': 34.911019766312066, 'alphas5': 24.862115293582136, 'alphas6': 28.481850137304782, 'alphas7': 37.4106060679121, 'alphas8': 20.280456890333507, 'alphas9': 40.48513933554125, 'alphas10': 19.032104524157766, 'alphas11': 46.70072892155456, 'alphas12': 56.97426320704454} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06308192157974286, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 39.751612017002664, 'alphas1': 0.8142981367265902, 'alphas2': 37.37076573280017, 'alphas3': 40.41957785014737, 'alphas4': 58.31670014997996, 'alphas5': 52.69160828083063, 'alphas6': 30.577462603194014, 'alphas7': 3.3428816220963795, 'alphas8': 27.069552871255695, 'alphas9': 1.1992599245255244, 'alphas10': 26.502655274930728, 'alphas11': 58.77520372876372, 'alphas12': 21.566667838159294} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06271210418241356, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 6: {'alphas0': 28.853611850169777, 'alphas1': 41.31967096834623, 'alphas2': 52.82855335515574, 'alphas3': 55.0941279817287, 'alphas4': 13.009328257652577, 'alphas5': 33.911331996292525, 'alphas6': 51.906153678323115, 'alphas7': 30.538137640020874, 'alphas8': 55.00337724116766, 'alphas9': 55.269456614232, 'alphas10': 4.986749557836144, 'alphas11': 16.66311367686195, 'alphas12': 0.5614022913919571} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06587008345930946, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 50.540524780063876, 'alphas1': 38.830448411253336, 'alphas2': 50.48316715184128, 'alphas3': 15.883809857006982, 'alphas4': 23.86924516551775, 'alphas5': 33.169288793254296, 'alphas6': 9.89642761451305, 'alphas7': 22.188485564900404, 'alphas8': 8.786505763746737, 'alphas9': 34.177104355398406, 'alphas10': 42.22423675739498, 'alphas11': 17.30858622291172, 'alphas12': 25.99728371892265} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06061629390274609, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 45.36640163190247, 'alphas1': 23.765896525401743, 'alphas2': 53.76230325054463, 'alphas3': 38.33526457387878, 'alphas4': 53.49326623354064, 'alphas5': 40.80333416780474, 'alphas6': 26.95186429310233, 'alphas7': 58.71425570524303, 'alphas8': 6.972114576743666, 'alphas9': 46.021422213523614, 'alphas10': 24.70920833789069, 'alphas11': 40.526344872014164, 'alphas12': 14.987776539298688} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06348170175107062, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 18.79309991675706, 'alphas1': 57.92497323119564, 'alphas2': 35.30790510412497, 'alphas3': 39.58010472416478, 'alphas4': 31.9923752349989, 'alphas5': 13.831981410379795, 'alphas6': 23.692157607013755, 'alphas7': 37.12851387548143, 'alphas8': 28.492050924536528, 'alphas9': 28.207931355345917, 'alphas10': 42.964471873718594, 'alphas11': 17.279460261796835, 'alphas12': 23.00773350209688} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06171326344797155, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 44.95019022916349, 'alphas1': 52.70713141656253, 'alphas2': 6.1718015216062945, 'alphas3': 5.542433367653892, 'alphas4': 21.242799725028615, 'alphas5': 33.108975547995534, 'alphas6': 2.017505609929922, 'alphas7': 58.137705915616436, 'alphas8': 19.259834482409854, 'alphas9': 13.27576111102697, 'alphas10': 8.475834295553803, 'alphas11': 5.835595623790434, 'alphas12': 59.0425344818488} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.059798028974552685, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
