BayesianSearch: New best config found. Config 0: {'alphas0': 66.9062396804853, 'alphas1': 98.56640298059382, 'alphas2': 52.221982311768876, 'alphas3': 13.373195026063769, 'alphas4': 24.156346752451856, 'alphas5': 21.939675317354606, 'alphas6': 93.92792309850917, 'alphas7': 28.571017119619064, 'alphas8': 86.89139689310537, 'alphas9': 46.37334492807531, 'alphas10': 25.63691875186714, 'alphas11': 81.59713350944499} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10835694698152828, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 1: {'alphas0': 80.97125999247625, 'alphas1': 41.726396382517436, 'alphas2': 27.977432809047816, 'alphas3': 51.48702876728647, 'alphas4': 55.94525029153665, 'alphas5': 26.906516029741027, 'alphas6': 73.51574048040492, 'alphas7': 63.675928691606806, 'alphas8': 12.289044859421287, 'alphas9': 54.828124275048125, 'alphas10': 16.315885977754967, 'alphas11': 59.03090055044886} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11294209452078269, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 99.46895957008567, 'alphas1': 92.8669248616967, 'alphas2': 74.32220787303044, 'alphas3': 34.043404665919866, 'alphas4': 14.317081805848456, 'alphas5': 50.56759257637824, 'alphas6': 75.76565722239236, 'alphas7': 98.69871613912737, 'alphas8': 12.353977012333953, 'alphas9': 50.694634087494464, 'alphas10': 11.237310308314388, 'alphas11': 0.27490145549776696} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10884786326839159, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 87.52927437915854, 'alphas1': 41.164751365450535, 'alphas2': 61.51523316350877, 'alphas3': 98.87832823659336, 'alphas4': 15.664714406248539, 'alphas5': 42.6309437546732, 'alphas6': 25.38675977842782, 'alphas7': 78.18067980219381, 'alphas8': 10.961130675683409, 'alphas9': 22.8139363626721, 'alphas10': 15.260489455311657, 'alphas11': 1.971996639336782} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11030630040619943, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 82.7052709296731, 'alphas1': 96.88391881247941, 'alphas2': 47.133124724258124, 'alphas3': 2.946802741914579, 'alphas4': 67.86618362603795, 'alphas5': 44.743512743499416, 'alphas6': 41.51450319806992, 'alphas7': 65.09418110985833, 'alphas8': 90.56791440455142, 'alphas9': 68.1245092864145, 'alphas10': 90.2515208162417, 'alphas11': 66.5086073498135} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11243225286516571, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 5: {'alphas0': 51.67224560760215, 'alphas1': 23.68992457079778, 'alphas2': 65.54099454558475, 'alphas3': 8.815894742547794, 'alphas4': 52.73495335948698, 'alphas5': 80.35498007618241, 'alphas6': 59.560229932658025, 'alphas7': 9.274817232626221, 'alphas8': 31.488037644673888, 'alphas9': 84.31045271866023, 'alphas10': 99.55389187398035, 'alphas11': 91.6392830876457} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11436821347733249, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 31.07865345869249, 'alphas1': 8.97953341625163, 'alphas2': 89.0176997473686, 'alphas3': 62.35286170325478, 'alphas4': 39.76273353086538, 'alphas5': 74.69714402954126, 'alphas6': 58.96597984587928, 'alphas7': 63.39239639703243, 'alphas8': 10.221028338299302, 'alphas9': 53.863566928164865, 'alphas10': 33.049580497381505, 'alphas11': 11.701398907420005} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11107365593813966, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 89.46632428884371, 'alphas1': 67.89660684262486, 'alphas2': 99.16295970300698, 'alphas3': 65.41259101821649, 'alphas4': 78.96660143667785, 'alphas5': 32.24867917469474, 'alphas6': 24.860413178336398, 'alphas7': 50.29707586537675, 'alphas8': 96.8596872106391, 'alphas9': 31.186377828308405, 'alphas10': 28.990943676596064, 'alphas11': 54.201379256773976} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1110331186925026, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 31.370199768669387, 'alphas1': 7.797698912609742, 'alphas2': 1.2892625103588466, 'alphas3': 25.79885276571792, 'alphas4': 67.63306540799965, 'alphas5': 70.62398883300443, 'alphas6': 24.958567496602495, 'alphas7': 42.198458932565345, 'alphas8': 67.64672564224139, 'alphas9': 22.736592243228877, 'alphas10': 59.37252618573381, 'alphas11': 72.77620659258824} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11185966330246273, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 4.467844395290966, 'alphas1': 59.6490672680543, 'alphas2': 14.818301656756375, 'alphas3': 40.71196177857659, 'alphas4': 74.98374654917905, 'alphas5': 81.82835862450449, 'alphas6': 85.8329937114746, 'alphas7': 75.29519761119343, 'alphas8': 15.214084766667217, 'alphas9': 12.676080436788299, 'alphas10': 14.91273157772637, 'alphas11': 93.50632174293384} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11309334790109887, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 10: {'alphas0': 16.925090228417975, 'alphas1': 73.50538875723151, 'alphas2': 64.27276438142975, 'alphas3': 24.555478102498025, 'alphas4': 34.392439240512715, 'alphas5': 26.22365017343517, 'alphas6': 96.57321686316244, 'alphas7': 18.59083390052411, 'alphas8': 29.26323386397324, 'alphas9': 57.37050634648131, 'alphas10': 98.79204323909782, 'alphas11': 2.3521257193132814} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11527059997648241, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
