BayesianSearch: New best config found. Config 0: {'alphas0': 15.928446182250184, 'alphas1': 18.442657485810173, 'alphas2': 87.15891235245513, 'alphas3': 0.8472517387841256, 'alphas4': 46.235636967859726, 'alphas5': 0.38438170729269994, 'alphas6': 0.29753460654447234, 'alphas7': 0.056712977317443194, 'alphas8': 44.0898444187017, 'alphas9': 0.47766511732135, 'alphas10': 0.8121687287754934, 'alphas11': 0.47997717237505744, 'alphas12': 20.89177194151245, 'alphas13': 86.72157527074755} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06726808834089175, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 1 is suboptimal. Config: {'alphas0': 13.373961604172685, 'alphas1': 16.48171872051197, 'alphas2': 77.36483079681096, 'alphas3': 0.9571551589530466, 'alphas4': 41.40350780412645, 'alphas5': 0.8700872583584366, 'alphas6': 0.4736080452737106, 'alphas7': 0.8009107519796445, 'alphas8': 47.80716219326808, 'alphas9': 0.6788795301189604, 'alphas10': 0.7206326547259169, 'alphas11': 0.5820197920751072, 'alphas12': 23.06059844173516, 'alphas13': 85.17231248644714} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06693235922146626, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 2 is suboptimal. Config: {'alphas0': 11.059076071877922, 'alphas1': 14.736004193466576, 'alphas2': 73.7266468665352, 'alphas3': 0.7369181771289582, 'alphas4': 42.16550354424372, 'alphas5': 0.13521817340545209, 'alphas6': 0.32414100779321414, 'alphas7': 0.1496748671836832, 'alphas8': 43.33482082377382, 'alphas9': 0.38648898112586205, 'alphas10': 0.9025984755294049, 'alphas11': 0.4499499899112277, 'alphas12': 24.195951868261986, 'alphas13': 88.0469716634797} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06678629598135538, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 10.99280350358974, 'alphas1': 19.69809067746749, 'alphas2': 83.06280071595876, 'alphas3': 0.17090958513604518, 'alphas4': 43.58152166969525, 'alphas5': 0.7506861412184564, 'alphas6': 0.6078306687154679, 'alphas7': 0.32504722900835253, 'alphas8': 40.57638139709102, 'alphas9': 0.6342740579573352, 'alphas10': 0.9589492686245206, 'alphas11': 0.652790317005491, 'alphas12': 24.52588310405346, 'alphas13': 89.90599135355775} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06700995732552273, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 4: {'alphas0': 15.818503294385344, 'alphas1': 14.14368588226369, 'alphas2': 79.49395004576826, 'alphas3': 0.6235101011318683, 'alphas4': 43.380076148388916, 'alphas5': 0.6747523222590208, 'alphas6': 0.31720174206929613, 'alphas7': 0.7783454820259093, 'alphas8': 54.243565801761136, 'alphas9': 0.6625268669500444, 'alphas10': 0.013571635612109837, 'alphas11': 0.6228460955466696, 'alphas12': 25.10489446253684, 'alphas13': 89.43890004999332} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06744909492315435, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 18.78193471347177, 'alphas1': 15.096243767199002, 'alphas2': 71.11429387403213, 'alphas3': 0.4511592145209282, 'alphas4': 40.19987665408759, 'alphas5': 0.4417109212488455, 'alphas6': 0.9795867288127287, 'alphas7': 0.35944446396932156, 'alphas8': 47.213402962542446, 'alphas9': 0.6886611828057705, 'alphas10': 0.8804758892525957, 'alphas11': 0.9182354663621449, 'alphas12': 18.252332064413146, 'alphas13': 81.30377733209751} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06690594746787588, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 6: {'alphas0': 18.651025613053854, 'alphas1': 15.089689606670145, 'alphas2': 88.33445908038922, 'alphas3': 0.9211576102372, 'alphas4': 40.831124926306025, 'alphas5': 0.2777185612810325, 'alphas6': 0.009356704856532618, 'alphas7': 0.8423420796677312, 'alphas8': 49.707612102813336, 'alphas9': 0.8413861191973546, 'alphas10': 0.2647301642834497, 'alphas11': 0.39782075275862916, 'alphas12': 23.292322198313574, 'alphas13': 73.29880920483768} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06777015888762891, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 13.698080927483401, 'alphas1': 11.464417627291123, 'alphas2': 81.39236811846614, 'alphas3': 0.7037372792899164, 'alphas4': 42.884764370485286, 'alphas5': 0.43328806198204417, 'alphas6': 0.7561066938650411, 'alphas7': 0.3960982754233624, 'alphas8': 53.440575812636155, 'alphas9': 0.638921076231313, 'alphas10': 0.8915544372256773, 'alphas11': 0.6800555694634124, 'alphas12': 21.737966073275583, 'alphas13': 89.57141856841434} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06699282379062725, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 11.162019096123945, 'alphas1': 17.67023703558727, 'alphas2': 78.2364027792969, 'alphas3': 0.6754390812002361, 'alphas4': 42.49796275654978, 'alphas5': 0.313218331945951, 'alphas6': 0.9654162205199273, 'alphas7': 0.5884650850687495, 'alphas8': 49.895026181041196, 'alphas9': 0.5332062539166483, 'alphas10': 0.23053302350632993, 'alphas11': 0.39486929345022925, 'alphas12': 24.282128468870358, 'alphas13': 79.49735030817884} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06724664169186186, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 14.701321892557653, 'alphas1': 17.160745312286434, 'alphas2': 75.75982008726561, 'alphas3': 0.383462225034948, 'alphas4': 47.49169837152725, 'alphas5': 0.8784521902760423, 'alphas6': 0.10286335869343824, 'alphas7': 0.09237388946089821, 'alphas8': 45.310699931257155, 'alphas9': 0.5518162591332589, 'alphas10': 0.03362509349883203, 'alphas11': 0.9689617652602739, 'alphas12': 19.814958620602464, 'alphas13': 74.42525370367565} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06760940239984872, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 11.412639049258967, 'alphas1': 10.97259927063174, 'alphas2': 89.68084482728293, 'alphas3': 0.26034092758740474, 'alphas4': 45.3702252137578, 'alphas5': 0.44792617187073, 'alphas6': 0.09956908911081111, 'alphas7': 0.3523116612005331, 'alphas8': 47.038737609853634, 'alphas9': 0.8411401297855997, 'alphas10': 0.9046477442095137, 'alphas11': 0.03755938382814029, 'alphas12': 22.624731728683365, 'alphas13': 73.33695026097} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06714459838750308, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
