BayesianSearch: New best config found. Config 0: {'alphas0': 18.214069508301314, 'alphas1': 26.869380912750046, 'alphas2': 106.33518936898567, 'alphas3': 0.18354449123581765, 'alphas4': 0.14211045966767713, 'alphas5': 0.43382051919045617, 'alphas6': 91.83654319902381, 'alphas7': 3.8648164606366606, 'alphas8': 107.15773318788003, 'alphas9': 42.90409365711473, 'alphas10': 116.08914486786922, 'alphas11': 164.28433567940763} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11931451007904251, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 1 is suboptimal. Config: {'alphas0': 17.8610524393808, 'alphas1': 27.43229205277262, 'alphas2': 98.86888337780793, 'alphas3': 0.7985353917210258, 'alphas4': 0.18474298033287387, 'alphas5': 0.022546275002344966, 'alphas6': 94.66801939124389, 'alphas7': 1.9166270392940592, 'alphas8': 91.30319058205828, 'alphas9': 47.668335815552034, 'alphas10': 112.70152205857235, 'alphas11': 163.795314251034} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1192859626810163, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 2: {'alphas0': 13.037983023011114, 'alphas1': 31.13588151441327, 'alphas2': 109.98841704824542, 'alphas3': 0.5923866818937937, 'alphas4': 0.3291687822857971, 'alphas5': 0.751115413198186, 'alphas6': 104.8456919912036, 'alphas7': 2.9035616006783367, 'alphas8': 90.05767364565004, 'alphas9': 43.702692695770196, 'alphas10': 121.85778698225316, 'alphas11': 165.29577274313692} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1193930470918759, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 12.673757885088362, 'alphas1': 32.588610840564854, 'alphas2': 90.88733199723242, 'alphas3': 0.22803140908155745, 'alphas4': 0.29956307721404124, 'alphas5': 0.15714037793462535, 'alphas6': 98.97180564386233, 'alphas7': 6.616282734709654, 'alphas8': 106.44483824719912, 'alphas9': 42.73240770778436, 'alphas10': 111.00556020010896, 'alphas11': 174.46203870249457} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11929121097832349, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 16.529304162564188, 'alphas1': 32.23880342259838, 'alphas2': 92.79523703672538, 'alphas3': 0.48333233187061253, 'alphas4': 0.21395771312856, 'alphas5': 0.7035258681450153, 'alphas6': 92.69333451977084, 'alphas7': 3.5581444837874336, 'alphas8': 91.77984282533203, 'alphas9': 44.898369736850626, 'alphas10': 110.0885176896327, 'alphas11': 173.8220790851423} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11920034319007018, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 18.61841447317117, 'alphas1': 29.534469769157845, 'alphas2': 98.76292240878526, 'alphas3': 0.2536491196885508, 'alphas4': 0.3502053762364032, 'alphas5': 0.9351883772534713, 'alphas6': 105.70452643937016, 'alphas7': 3.0946726178636847, 'alphas8': 91.71414817321342, 'alphas9': 44.343606909594044, 'alphas10': 123.99711172061453, 'alphas11': 160.2402424454065} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1192753151650476, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 19.140235319741475, 'alphas1': 34.363312288862986, 'alphas2': 100.15942616913335, 'alphas3': 0.9583408528596105, 'alphas4': 0.12112031156752903, 'alphas5': 0.24671935581010856, 'alphas6': 98.73042871004318, 'alphas7': 6.031754481536234, 'alphas8': 104.41215036013625, 'alphas9': 44.868895247857914, 'alphas10': 116.04093284998697, 'alphas11': 167.94884350947183} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11910366105578163, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 12.14924468614688, 'alphas1': 27.766465660220433, 'alphas2': 104.88454414585242, 'alphas3': 0.1963995371164839, 'alphas4': 0.910918368218758, 'alphas5': 0.9814117918857824, 'alphas6': 101.10465625978156, 'alphas7': 5.369953460741317, 'alphas8': 104.43681588590225, 'alphas9': 40.30037898175534, 'alphas10': 124.86544153124098, 'alphas11': 164.97482083824895} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11936624570921393, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 19.189482497405045, 'alphas1': 25.28046703191744, 'alphas2': 103.0323743331957, 'alphas3': 0.2000825403267445, 'alphas4': 0.9423745083839647, 'alphas5': 0.6267138206658196, 'alphas6': 104.90648798002228, 'alphas7': 6.191826457287098, 'alphas8': 94.39589349365002, 'alphas9': 41.21229977679065, 'alphas10': 128.3347738148532, 'alphas11': 179.7383018024895} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11928744669106411, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 11.411681411990587, 'alphas1': 34.876329028525795, 'alphas2': 92.44687551506449, 'alphas3': 0.06334603437125254, 'alphas4': 0.3827033000713571, 'alphas5': 0.3421572571265626, 'alphas6': 97.87746011470392, 'alphas7': 8.836807106551053, 'alphas8': 106.87182744360763, 'alphas9': 45.56384709043343, 'alphas10': 116.47129547375465, 'alphas11': 174.3650887342297} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11923076748437775, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 13.348862948534299, 'alphas1': 34.57182897355574, 'alphas2': 92.94975474574225, 'alphas3': 0.1688940852753347, 'alphas4': 0.7110703387926044, 'alphas5': 0.8013607229015488, 'alphas6': 90.41685727010122, 'alphas7': 2.060503645623804, 'alphas8': 96.07022423037834, 'alphas9': 43.920096671457806, 'alphas10': 124.7515187618919, 'alphas11': 173.50396304500399} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11929271425153998, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
