BayesianSearch: New best config found. Config 0: {'alphas0': 82.14069508301314, 'alphas1': 18.69380912750045, 'alphas2': 81.67594684492835, 'alphas3': 18.354449123581766, 'alphas4': 14.211045966767713, 'alphas5': 43.382051919045615, 'alphas6': 9.182715995119063, 'alphas7': 38.648164606366606, 'alphas8': 85.78866593940012, 'alphas9': 29.040936571147284, 'alphas10': 30.445724339346143, 'alphas11': 82.13251759555732, 'alphas12': 176.4715768331888, 'alphas13': 116.75521258049883} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11633968519326372, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 1 is suboptimal. Config: {'alphas0': 44.34441688903964, 'alphas1': 79.85353917210259, 'alphas2': 18.474298033287386, 'alphas3': 2.2546275002344967, 'alphas4': 23.340096956219476, 'alphas5': 19.166270392940593, 'alphas6': 6.515952910291424, 'alphas7': 76.68335815552032, 'alphas8': 13.50761029286173, 'alphas9': 18.976571255170022, 'alphas10': 30.379830230111132, 'alphas11': 142.03822271619907, 'alphas12': 199.9362937653499, 'alphas13': 155.16253500831732} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11556582287132729, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 2: {'alphas0': 32.91687822857971, 'alphas1': 75.1115413198186, 'alphas2': 74.22845995601796, 'alphas3': 29.035616006783364, 'alphas4': 0.2883682282501799, 'alphas5': 37.026926957701924, 'alphas6': 59.28893491126581, 'alphas7': 26.478863715684547, 'alphas8': 26.73757885088362, 'alphas9': 75.88610840564857, 'alphas10': 4.436659986162118, 'alphas11': 84.20471136223361, 'alphas12': 122.95193849354453, 'alphas13': 107.2854415728088} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11699776864143795, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 3 is suboptimal. Config: {'alphas0': 44.85902821931165, 'alphas1': 66.16282734709654, 'alphas2': 82.22419123599559, 'alphas3': 27.32407707784362, 'alphas4': 5.027801000544797, 'alphas5': 72.31019351247284, 'alphas6': 65.29304162564186, 'alphas7': 72.38803422598383, 'alphas8': 13.976185183626901, 'alphas9': 48.33323318706125, 'alphas10': 21.395771312856, 'alphas11': 155.52888022175227, 'alphas12': 104.81333985873965, 'alphas13': 129.1395893216618} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11673052270384833, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 4 is suboptimal. Config: {'alphas0': 8.899214126660118, 'alphas1': 48.98369736850624, 'alphas2': 0.4425884481634835, 'alphas3': 69.1103954257115, 'alphas4': 86.18414473171173, 'alphas5': 45.34469769157846, 'alphas6': 43.81461204392626, 'alphas7': 25.36491196885508, 'alphas8': 35.020537623640315, 'alphas9': 93.51883772534713, 'alphas10': 78.52263219685081, 'alphas11': 96.42008926795526, 'alphas12': 99.42781495267377, 'alphas13': 137.7796760055345} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11324547729516267, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 5 is suboptimal. Config: {'alphas0': 69.98555860307266, 'alphas1': 1.201212227032456, 'alphas2': 91.40235319741474, 'alphas3': 93.63312288862984, 'alphas4': 50.79713084566679, 'alphas5': 95.83408528596105, 'alphas6': 12.112031156752904, 'alphas7': 24.671935581010857, 'alphas8': 43.652143550215904, 'alphas9': 60.317544815362346, 'alphas10': 72.06075180068122, 'alphas11': 123.03342871786869, 'alphas12': 123.22513067492838, 'alphas13': 133.71863930209508} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11429613670885944, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 6 is suboptimal. Config: {'alphas0': 21.49244686146879, 'alphas1': 27.664656602204335, 'alphas2': 74.42272072926207, 'alphas3': 19.63995371164839, 'alphas4': 91.0918368218758, 'alphas5': 98.14117918857825, 'alphas6': 55.523281298907854, 'alphas7': 53.69953460741317, 'alphas8': 72.18407942951127, 'alphas9': 3.0037898175533715, 'alphas10': 74.32720765620489, 'alphas11': 87.31115628686712, 'alphas12': 191.08430747145547, 'alphas13': 93.08513735109182} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11504973692423968, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 7 is suboptimal. Config: {'alphas0': 65.16187166597851, 'alphas1': 20.00825403267445, 'alphas2': 94.23745083839647, 'alphas3': 62.67138206658196, 'alphas4': 74.53243990011137, 'alphas5': 61.918264572870974, 'alphas6': 21.979467468250085, 'alphas7': 12.122997767906543, 'alphas8': 91.67386907426605, 'alphas9': 98.69150901244743, 'alphas10': 14.116814119905877, 'alphas11': 198.1449354278869, 'alphas12': 103.45781533285472, 'alphas13': 96.96806378083778} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11432653746969876, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 8 is suboptimal. Config: {'alphas0': 38.27033000713571, 'alphas1': 34.21572571265626, 'alphas2': 39.38730057351958, 'alphas3': 88.36807106551052, 'alphas4': 84.35913721803817, 'alphas5': 55.638470904334284, 'alphas6': 32.35647736877322, 'alphas7': 71.82544367114846, 'alphas8': 33.48862948534298, 'alphas9': 95.71828973555738, 'alphas10': 14.748773728711265, 'alphas11': 75.3341127913002, 'alphas12': 168.21773726718646, 'alphas13': 178.14967951917038} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11385805912532783, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 9 is suboptimal. Config: {'alphas0': 2.084286350506071, 'alphas1': 20.60503645623804, 'alphas2': 30.351121151891686, 'alphas3': 39.200966714578065, 'alphas4': 73.7575938094595, 'alphas5': 67.51981522501997, 'alphas6': 73.31202831028257, 'alphas7': 74.47791687364955, 'alphas8': 74.17651342108822, 'alphas9': 22.49075006276073, 'alphas10': 70.24758574612055, 'alphas11': 138.40719574436451, 'alphas12': 126.72583912595756, 'alphas13': 186.68307229822005} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11343140380174865, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 10 is suboptimal. Config: {'alphas0': 2.2724384021140858, 'alphas1': 89.52768613181958, 'alphas2': 89.97168690996283, 'alphas3': 24.67273818396692, 'alphas4': 38.96736419197965, 'alphas5': 91.15578279969962, 'alphas6': 98.62149609489659, 'alphas7': 92.67484348764937, 'alphas8': 4.3398692433593515, 'alphas9': 81.36888348562941, 'alphas10': 78.76464344685155, 'alphas11': 51.28156714913324, 'alphas12': 104.82236547569002, 'alphas13': 185.75689165604788} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11567429096830491, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
